# source_api_id	status	crystal_refs	notes
benchmark/chiasmus/p1-rbac.ts::interface::ConflictResult	missing	-	baseline
benchmark/chiasmus/p1-rbac.ts::interface::Rule	missing	-	baseline
benchmark/chiasmus/p2-deps.ts::interface::DependencyResult	missing	-	baseline
benchmark/chiasmus/p3-taint.ts::interface::TaintResult	missing	-	baseline
benchmark/chiasmus/p4-workflow.ts::interface::WorkflowResult	missing	-	baseline
benchmark/chiasmus/p5-validation.ts::function::buildGapCheck	missing	-	baseline
benchmark/chiasmus/p5-validation.ts::interface::ValidationGapResult	missing	-	baseline
benchmark/traditional/p1-rbac.ts::interface::ConflictResult	missing	-	baseline
benchmark/traditional/p1-rbac.ts::interface::Rule	missing	-	baseline
benchmark/traditional/p2-deps.ts::function::backtrack	missing	-	baseline
benchmark/traditional/p2-deps.ts::function::isValid	missing	-	baseline
benchmark/traditional/p2-deps.ts::interface::DependencyResult	missing	-	baseline
benchmark/traditional/p3-taint.ts::function::reachableFrom	missing	-	baseline
benchmark/traditional/p3-taint.ts::interface::TaintResult	missing	-	baseline
benchmark/traditional/p4-workflow.ts::interface::WorkflowResult	missing	-	baseline
benchmark/traditional/p5-validation.ts::interface::ValidationGapResult	missing	-	baseline
src/config.ts::function::loadConfig	missing	-	baseline
src/config.ts::interface::ChiasmusConfig	missing	-	baseline
src/formalize/engine.ts::class::FormalizationEngine	missing	-	baseline
src/formalize/engine.ts::const::FIX_SYSTEM	missing	-	baseline
src/formalize/engine.ts::const::FORMALIZE_SYSTEM	missing	-	baseline
src/formalize/engine.ts::interface::FormalizeResult	missing	-	baseline
src/formalize/engine.ts::interface::SolveResult	missing	-	baseline
src/formalize/engine.ts::method::FormalizationEngine.constructor	missing	-	baseline
src/formalize/feedback.ts::function::classifyFeedback	missing	-	baseline
src/formalize/feedback.ts::function::core	missing	-	baseline
src/formalize/prolog-input.ts::function::extractPrologQuery	missing	-	baseline
src/formalize/validate.ts::function::lintProlog	missing	-	baseline
src/formalize/validate.ts::function::lintSmtlib	missing	-	baseline
src/formalize/validate.ts::function::lintSpec	missing	-	baseline
src/formalize/validate.ts::function::stripPrologNoise	missing	-	baseline
src/formalize/validate.ts::interface::LintResult	missing	-	baseline
src/graph/adapter-registry.ts::function::clearAdapters	missing	-	baseline
src/graph/adapter-registry.ts::function::discoverAdapters	missing	-	baseline
src/graph/adapter-registry.ts::function::getAdapter	missing	-	baseline
src/graph/adapter-registry.ts::function::getAdapterExtensions	missing	-	baseline
src/graph/adapter-registry.ts::function::getAdapterForExt	missing	-	baseline
src/graph/adapter-registry.ts::function::isLanguageAdapter	missing	-	baseline
src/graph/adapter-registry.ts::function::registerAdapter	missing	-	baseline
src/graph/adapter-registry.ts::function::registerFromModule	missing	-	baseline
src/graph/analyses.ts::const::DEFAULT_FACTS_MAX_BYTES	missing	-	baseline
src/graph/analyses.ts::const::MAX_FILE_SIZE	missing	-	baseline
src/graph/analyses.ts::function::buildFactsResult	missing	-	baseline
src/graph/analyses.ts::function::buildSummary	missing	-	baseline
src/graph/analyses.ts::function::extractLayer	missing	-	baseline
src/graph/analyses.ts::function::findLayerViolations	missing	-	baseline
src/graph/analyses.ts::function::missingParams	missing	-	baseline
src/graph/analyses.ts::interface::AnalysisRequest	missing	-	baseline
src/graph/analyses.ts::interface::AnalysisResult	missing	-	baseline
src/graph/analyses.ts::interface::FactsOversizeError	missing	-	baseline
src/graph/analyses.ts::interface::LayerViolation	missing	-	baseline
src/graph/analyses.ts::type::AnalysisType	missing	-	baseline
src/graph/cache.ts::const::BOOTSTRAP_CAP	missing	-	baseline
src/graph/cache.ts::const::CACHE_SCHEMA_VERSION	missing	-	baseline
src/graph/cache.ts::const::DEFAULT_MAX_BYTES_PER_REPO	missing	-	baseline
src/graph/cache.ts::function::defaultCacheDir	missing	-	baseline
src/graph/cache.ts::function::defaultMaxBytesPerRepo	missing	-	baseline
src/graph/cache.ts::function::defaultRepoKey	missing	-	baseline
src/graph/cache.ts::function::fileHash	missing	-	baseline
src/graph/cache.ts::function::p	missing	-	baseline
src/graph/cache.ts::function::resolveCachePaths	missing	-	baseline
src/graph/cache.ts::function::snapshotPath	missing	-	baseline
src/graph/cache.ts::function::snapshotsDir	missing	-	baseline
src/graph/cache.ts::interface::CacheOptions	missing	-	baseline
src/graph/cache.ts::interface::CachePaths	missing	-	baseline
src/graph/cache.ts::interface::Manifest	missing	-	baseline
src/graph/cache.ts::interface::ManifestEntry	missing	-	baseline
src/graph/community.ts::const::DEFAULT_SEED	missing	-	baseline
src/graph/community.ts::function::cohesionScore	missing	-	baseline
src/graph/community.ts::function::detectCommunities	missing	-	baseline
src/graph/community.ts::function::groupBy	missing	-	baseline
src/graph/community.ts::function::makeRng	missing	-	baseline
src/graph/community.ts::function::max	missing	-	baseline
src/graph/community.ts::interface::Community	missing	-	baseline
src/graph/community.ts::interface::DetectOptions	missing	-	baseline
src/graph/diff.ts::function::collectEdgeKeys	missing	-	baseline
src/graph/diff.ts::function::collectNodes	missing	-	baseline
src/graph/diff.ts::function::diffByKey	missing	-	baseline
src/graph/diff.ts::function::edgeKey	missing	-	baseline
src/graph/diff.ts::function::exportKey	missing	-	baseline
src/graph/diff.ts::function::graphDiff	missing	-	baseline
src/graph/diff.ts::function::hyperedgeKey	missing	-	baseline
src/graph/diff.ts::function::importKey	missing	-	baseline
src/graph/diff.ts::function::pluralize	missing	-	baseline
src/graph/diff.ts::interface::GraphDiffEdge	missing	-	baseline
src/graph/diff.ts::interface::GraphDiffResult	missing	-	baseline
src/graph/entry-points.ts::function::detectEntryPoints	missing	-	baseline
src/graph/extractor.ts::const::CLASS_NODE_TYPES_SET	missing	-	baseline
src/graph/extractor.ts::const::CLJ_FORM_TYPES	missing	-	baseline
src/graph/extractor.ts::const::CLJ_HOFS_ALL_ARGS	missing	-	baseline
src/graph/extractor.ts::const::CLJ_HOFS_ARG1	missing	-	baseline
src/graph/extractor.ts::const::CLJ_RECOGNIZED_TOPLEVEL	missing	-	baseline
src/graph/extractor.ts::const::CLJ_RECURSE_TYPES	missing	-	baseline
src/graph/extractor.ts::const::CLJ_SPECIAL_FORMS	missing	-	baseline
src/graph/extractor.ts::const::CLJ_THREADING_MACROS	missing	-	baseline
src/graph/extractor.ts::const::DOC_MAX_LEN	missing	-	baseline
src/graph/extractor.ts::const::EXTS	missing	-	baseline
src/graph/extractor.ts::const::FN_NODE_TYPES	missing	-	baseline
src/graph/extractor.ts::function::cljExtractCalls	missing	-	baseline
src/graph/extractor.ts::function::cljExtractNs	missing	-	baseline
src/graph/extractor.ts::function::cljListHead	missing	-	baseline
src/graph/extractor.ts::function::cljMethodImplName	missing	-	baseline
src/graph/extractor.ts::function::cljNextSymNameAfter	missing	-	baseline
src/graph/extractor.ts::function::cljProcessCallSite	missing	-	baseline
src/graph/extractor.ts::function::cljSymName	missing	-	baseline
src/graph/extractor.ts::function::cljWalkDispatchMethods	missing	-	baseline
src/graph/extractor.ts::function::collapseSignature	missing	-	baseline
src/graph/extractor.ts::function::collectTypeInfo	missing	-	baseline
src/graph/extractor.ts::function::commonAncestor	missing	-	baseline
src/graph/extractor.ts::function::countLines	missing	-	baseline
src/graph/extractor.ts::function::emit	missing	-	baseline
src/graph/extractor.ts::function::exactLookup	missing	-	baseline
src/graph/extractor.ts::function::extractAnnotationTypeLocal	missing	-	baseline
src/graph/extractor.ts::function::extractClassMethods	missing	-	baseline
src/graph/extractor.ts::function::extractCljDefnArglist	missing	-	baseline
src/graph/extractor.ts::function::extractCljProtocolMethodSignature	missing	-	baseline
src/graph/extractor.ts::function::extractFileDoc	missing	-	baseline
src/graph/extractor.ts::function::extractFromTree	missing	-	baseline
src/graph/extractor.ts::function::extractGoCalls	missing	-	baseline
src/graph/extractor.ts::function::extractGoReceiverType	missing	-	baseline
src/graph/extractor.ts::function::extractGoSignature	missing	-	baseline
src/graph/extractor.ts::function::extractImportNames	missing	-	baseline
src/graph/extractor.ts::function::extractJsLikeSignature	missing	-	baseline
src/graph/extractor.ts::function::extractNewTypeLocal	missing	-	baseline
src/graph/extractor.ts::function::extractParentClassName	missing	-	baseline
src/graph/extractor.ts::function::extractPythonModuleDocstring	missing	-	baseline
src/graph/extractor.ts::function::extractPythonSignature	missing	-	baseline
src/graph/extractor.ts::function::extractReceiverChain	missing	-	baseline
src/graph/extractor.ts::function::extractStringContent	missing	-	baseline
src/graph/extractor.ts::function::findEnclosingClassName	missing	-	baseline
src/graph/extractor.ts::function::findEnclosingClassNameForTypeInfo	missing	-	baseline
src/graph/extractor.ts::function::findEnclosingFnName	missing	-	baseline
src/graph/extractor.ts::function::findPythonEnclosingClass	missing	-	baseline
src/graph/extractor.ts::function::firstIdentifierIn	missing	-	baseline
src/graph/extractor.ts::function::isCommentNode	missing	-	baseline
src/graph/extractor.ts::function::isDocShape	missing	-	baseline
src/graph/extractor.ts::function::normalizeCommentText	missing	-	baseline
src/graph/extractor.ts::function::qualifyCaller	missing	-	baseline
src/graph/extractor.ts::function::qualifyCljName	missing	-	baseline
src/graph/extractor.ts::function::resolveCallee	missing	-	baseline
src/graph/extractor.ts::function::resolveGoCallee	missing	-	baseline
src/graph/extractor.ts::function::resolveImportsInPlace	missing	-	baseline
src/graph/extractor.ts::function::resolvePythonCallee	missing	-	baseline
src/graph/extractor.ts::function::scopeKeyOf	missing	-	baseline
src/graph/extractor.ts::function::stripPythonStringQuotes	missing	-	baseline
src/graph/extractor.ts::function::walkCallsAndClasses	missing	-	baseline
src/graph/extractor.ts::function::walkChildren	missing	-	baseline
src/graph/extractor.ts::function::walkClojure	missing	-	baseline
src/graph/extractor.ts::function::walkDecls	missing	-	baseline
src/graph/extractor.ts::function::walkGo	missing	-	baseline
src/graph/extractor.ts::function::walkNode	missing	-	baseline
src/graph/extractor.ts::function::walkPython	missing	-	baseline
src/graph/extractor.ts::function::walkPythonChildren	missing	-	baseline
src/graph/extractor.ts::interface::CljCtx	missing	-	baseline
src/graph/extractor.ts::interface::ExtractOptions	missing	-	baseline
